Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-11-12 21:30:55",5597,completed,new,"1× BC03 Vegan Earl Grey Belgian Chocolate Berries Cake, 1× BC11 Lemon Cupcake, 1× BC07 Banana Walnut Loaf Cake",3,,85.2
"2020-11-12 20:37:29",5596,completed,returning,"1× BC01 Red Velvet Cake-8""R",1,,59
"2020-11-12 20:26:58",5594,pending,returning,"1× BC01 Red Velvet Cake-8""R",1,,59
"2020-11-12 19:43:56",5590,completed,new,"1× BC01 Carrot Walnut Cake - 8""R",1,welcome10,53.1
"2020-11-12 19:36:47",5586,processed,new,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-12 19:16:39",5582,completed,returning,"6× SP04 Sliders Box- 6pcs, 4× SP05 Assorted Pastries Box, 1× SP06 Assorted Mini Cheesecake Box [Eggless] [V], 5× SP02 Picnic Box",16,,372.8
"2020-11-12 19:04:42",5581,pending,new,"1× SP01 Assorted Muffin & Scone Box",1,,25
"2020-11-12 18:56:23",5580,completed,new,"1× BC02 Black Forest Cake",1,joat40rv08,19
"2020-11-12 18:50:51",5579,completed,returning,"1× BC05 Yuzu Raspberry Cheesecake",1,,45
"2020-11-12 18:48:36",5578,completed,returning,"1× BC02 Black Forest Cake",1,,59
"2020-11-12 18:43:32",5577,completed,new,"1× Ondeh Ondeh Cake - 6""R",1,,45
"2020-11-12 18:25:43",5576,completed,returning,"1× BC02 Choc Banana Espresso Cake",1,,59
"2020-11-12 18:24:07",5575,completed,new,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-12 18:21:27",5574,completed,returning,"1× BC02 Black Forest Cake, 1× SP04 Mini Croissant Sandwiches, 1× SP04 Mini Croissant Sandwiches, 1× Herby Tomato Sea Salt Slab, 1× BB02 Wholemeal Walnut, 1× Ham & Cheese Sandwich",6,,112.9
"2020-11-12 18:20:26",5573,processed,returning,"1× BC02 Real Dark Chocolate Cake",1,,63
"2020-11-12 18:10:30",5572,completed,new,"1× BC01 Carrot Walnut Cake - 8""R",1,,59
"2020-11-12 18:09:25",5571,completed,new,"1× BB02 Wholemeal 4 Seeds, 2× BB03 White Bloomer, 1× BB04 Brioche, 1× BB04 Orange Cranberry Loaf, 1× BB04 Tahini Choc Pull-Apart Loaf, 1× BB01 Blue Pea Sourdough, 1× Herby Tomato Sea Salt Slab, 2× BC06 Cherry Chocolate Pound Cake 500g",10,,83.3
